省份,年份,区域,老龄化压力指数,资源保障指数,方向性错配指数,绝对错配指数,错配类型,65岁及以上人口占比,老年人口抚养比（%）,每千人床位数,每千人医师数,每千人护士数,基层床位占比,城乡卫技人员差,每千老年人床位数,每千老年人医师数,每千老年人护士数
黑龙江,2017,东北,0.8172067197479151,0.6871972537096274,0.13000946603828778,0.13000946603828778,高压力—高保障,0.12137211609228502,15.58,7.111856428361282,2.222947925860547,2.6609591056192996,0.13320536792811874,60.0,5859.547198595268,1831.5145170331655,2192.397390184782
上海,2018,东部,1.2060756632467582,0.7093123177232169,0.4967633455235413,0.4967633455235413,高压力—高保障,0.149519545202998,19.88,5.617333333333334,2.739030303030303,3.555757575757576,0.11508390335829215,62.0,3756.922431583681,1831.8877972184887,2378.122252131008
云南,2018,西部,0.5433758355220522,0.6172656678924077,-0.07388983237035551,0.07388983237035551,低压力—低保障,0.0957457558609539,13.24,6.191664894748032,1.7485222198596642,2.9106102487773766,0.2022706511809996,80.0,6466.77739297378,1826.213814008574,3039.9365722322877
内蒙古,2018,西部,0.538118264781525,0.7759374066914336,-0.2378191419099086,0.2378191419099086,低压力—高保障,0.09850344064289501,12.81,6.565070189925681,2.6123038810900083,3.1558629232039634,0.1748361697042879,86.0,6664.813073612384,2651.992523347896,3203.809839135395
北京,2018,东部,0.7028164058549224,0.9755971160623107,-0.27278071020738826,0.27278071020738826,低压力—高保障,0.11254455949753901,14.38,5.639872262773722,4.269479927007299,4.897399635036496,0.038826784009836114,,5011.234917043723,3793.590686274496,4351.520550527889
吉林,2018,东北,0.8740913057372437,0.761574726516598,0.11251657922064573,0.11251657922064573,高压力—高保障,0.12370901546926402,16.42,6.722785829307567,2.710507246376812,3.0692834138486313,0.1293459645256716,59.0,5434.353999024325,2191.034530583787,2481.0507158317873
四川,2018,西部,1.3076183149534435,0.7672555897700438,0.5403627251833997,0.5403627251833997,高压力—高保障,0.14988879784619,21.83,7.197428193726716,2.058370388174498,2.971541881985338,0.24010766441030024,44.0,4801.845299414859,1373.2649922822898,1982.4976413745194
天津,2018,东部,0.6555896230084102,0.6486520460505937,0.006937576957816494,0.006937576957816494,低压力—低保障,0.10919180866031,13.85,4.93470715835141,2.929501084598698,2.8472161966738967,0.10256861107447944,15.0,4519.301602286876,2682.894550920227,2607.5364366675503
宁夏,2018,西部,0.3529132720321272,0.6357611892805399,-0.28284791724841274,0.28284791724841274,低压力—低保障,0.0899255054984037,10.19,5.775352112676058,2.4073239436619716,3.2784507042253517,0.09754907938056337,62.0,6422.373808928522,2677.020196127455,3645.740645053754
安徽,2018,中部,1.073448027860327,0.5364075357114981,0.5370404921488288,0.5370404921488288,高压力—低保障,0.132015749247279,19.35,5.400312705727452,1.705529953917051,2.464170506912442,0.20419172078763148,43.0,4090.657922648392,1291.9140054437134,1866.5731331015656
山东,2018,东部,1.3618880553269013,0.7318214896399314,0.6300665656869698,0.6300665656869698,高压力—高保障,0.151623628773906,22.69,6.038096655750719,2.434355462935398,3.2028381462736935,0.19623343561357465,56.0,3982.2926707251177,1605.5251299686236,2112.360831997771
山西,2018,中部,0.6242825154092412,0.7084813107259847,-0.08419879531674357,0.08419879531674357,低压力—高保障,0.103244644204586,13.94,5.948172472872645,2.4509994288977732,2.9657338663620787,0.1867453973740429,95.0,5761.240710061388,2373.972468771317,2872.5304728497917
广东,2018,东部,0.35220377198054786,0.4420274031492283,-0.08982363116868042,0.08982363116868042,低压力—低保障,0.0826345889232886,11.04,4.1863378684807255,1.8558875931324912,2.709353741496598,0.13676926618549162,73.0,5066.084218518944,2245.8968058222567,3278.7163060879357
广西,2018,西部,0.6460271685552763,0.596441789540956,0.04958537901432036,0.04958537901432036,低压力—低保障,0.10026515996332401,14.72,5.173640590256722,1.7493632504548209,2.838326258338387,0.2637336875830273,50.0,5159.958446332893,1744.736906712881,2830.820056913706
新疆,2018,西部,0.13256768889551782,0.7149725651123976,-0.5824048762168798,0.5824048762168798,低压力—高保障,0.07155828220858901,8.04,7.098452380952381,2.06,2.8709126984126985,0.1889524320637742,81.0,9919.819428114177,2878.772290809327,4011.992196855877
江苏,2018,东部,1.1654898986692235,0.6834425310322032,0.4820473676370203,0.4820473676370203,高压力—高保障,0.142963209891509,19.86,5.8194648354250536,2.2955008287946956,3.0833767463888235,0.1902293331597194,44.0,4070.60308721474,1605.6584281625255,2156.762392736366
江西,2018,中部,0.5871667736492385,0.5615942634873176,0.02557251016192097,0.02557251016192097,低压力—低保障,0.0973476890756303,13.91,5.528251717261245,1.6239751828052291,2.456348327055174,0.24289550683394126,53.0,5678.873088570492,1668.2216067230402,2523.2733826345016
河北,2018,东部,0.9955239887888679,0.6331753616112135,0.3623486271776545,0.3623486271776545,高压力—低保障,0.12686772093624302,18.43,5.681605171020738,2.21832749798007,2.3278077026663078,0.2052541264137885,47.0,4478.369382765229,1748.5357832626978,1834.830550661615
河南,2018,中部,0.7906056762712977,0.6212004478811128,0.1694052283901849,0.1694052283901849,高压力—低保障,0.110550464545813,16.34,6.169089618815897,1.828892944038929,2.667274939172749,0.2087034258585188,85.0,5580.338033097433,1654.3512065306802,2412.721601967949
浙江,2018,东部,0.9769335146505146,0.6294153752408783,0.3475181394096363,0.3475181394096363,高压力—低保障,0.129863502997831,17.71,5.293894468356449,2.648238482384824,3.2123545353100584,0.08311100136711574,55.0,4076.506752204943,2039.2476879582211,2473.6392143708867
海南,2018,东部,0.362438689647522,0.5105574525361701,-0.14811876288864811,0.14811876288864811,低压力—低保障,0.0821363280229825,11.3,4.562118126272912,1.9075356415478608,3.05081466395112,0.15848214285714285,99.0,5554.324421462315,2322.40189872393,3714.330476397087
湖北,2018,中部,0.9268059458898137,0.7598228038349761,0.16698314205483755,0.16698314205483755,高压力—高保障,0.124932986927296,17.31,6.650566165286462,2.140341389217509,3.2255872908568533,0.2411604161478372,54.0,5323.306781384104,1713.1915612191901,2581.853976431352
湖南,2018,中部,0.9798863869475929,0.7701434040145433,0.2097429829330496,0.2097429829330496,高压力—高保障,0.12486729421756698,18.36,7.27112283345893,2.100467219291635,2.7733534287867365,0.24231042681043616,79.0,5823.080318205526,1682.159633916477,2221.0407025834047
甘肃,2018,西部,0.5048908827419786,0.6344677754222491,-0.1295768926802705,0.1295768926802705,低压力—低保障,0.113167391505506,10.42,6.47065606361829,1.914512922465209,2.5557057654075552,0.19049140637961864,52.0,5717.774331931534,1691.7531605136105,2258.341145278771
福建,2018,东部,0.5187082297161856,0.5164140731170853,0.002294156599100261,0.002294156599100261,低压力—低保障,0.0948652078368257,12.86,4.6898879142300185,1.918201754385965,2.663986354775829,0.17924592020699007,64.0,4943.7386173199875,2022.028726996937,2808.1805917276424
